Time,Speed,accX,accY,accZ,Magnitude
0.085,1500,0.02125137,0.00175824,-0.0018489,0
0.103,1500,0.02025137,0.00575824,-0.0028489,0
0.114,1500,0.01725137,0.00775824,-0.0028489,0
0.124,1500,0.02225137,0.00175824,0.0031511,0
0.134,1500,0.02525137,0.00175824,-0.0008489,0
0.144,1500,0.02025137,0.00675824,0.0001511,0
0.154,1500,0.02025137,0.00675824,-0.0048489,0
0.164,1500,0.02225137,0.00675824,0.0011511,0
0.174,1500,0.02125137,0.00575824,0.0001511,0
0.184,1500,0.01925137,0.00375824,-0.0018489,0
0.194,1500,0.01925137,0.00975824,-0.0038489,0
0.204,1500,0.02125137,0.00275824,0.0011511,0
0.214,1500,0.02425137,0.00375824,-0.0018489,0
0.224,1500,0.02125137,0.00775824,-0.0018489,0
0.234,1500,0.02025137,0.00575824,0.0011511,0
0.243,1500,0.02025137,0.00275824,0.0021511,0
0.254,1500,0.02225137,0.00175824,0.0031511,0
0.264,1500,0.02325137,0.00775824,0.0001511,0
0.274,1500,0.01725137,0.00575824,-0.0038489,0
0.284,1500,0.01825137,0.00375824,0.0031511,0
0.294,1500,0.02025137,0.00575824,0.0041511,0
0.304,1500,0.02125137,0.00475824,0.0001511,0
0.313,1500,0.01825137,0.00475824,-0.0008489,0
0.324,1500,0.02125137,0.00175824,0.0031511,0
0.334,1500,0.02125137,0.00475824,0.0011511,0
0.344,1500,0.01925137,0.00575824,-0.0028489,0
0.354,1500,0.01925137,0.00575824,0.0001511,0
0.364,1500,0.02325137,0.00275824,0.0021511,0
0.374,1500,0.01925137,0.00475824,0.0001511,0
0.384,1500,0.01825137,0.00675824,-0.0028489,0
0.393,1500,0.02225137,0.00375824,0.0011511,0
0.404,1500,0.02425137,0.00275824,-0.0028489,0
0.414,1500,0.02125137,0.00375824,0.0011511,0
0.424,1500,0.02025137,0.00675824,-0.0038489,0
0.434,1500,0.01925137,0.00275824,0.0011511,0
0.444,1500,0.02325137,0.00275824,0.0011511,0
0.454,1500,0.02025137,0.00675824,0.0021511,0
0.464,1500,0.02025137,0.00575824,-0.0008489,0
0.474,1500,0.02125137,0.00575824,0.0001511,0
0.484,1500,0.02225137,0.00375824,0.0021511,0
0.494,1500,0.01925137,0.00475824,-0.0018489,0
0.504,1500,0.02025137,0.00575824,0.0011511,0
0.514,1500,0.02025137,0.00475824,0.0031511,0
0.524,1500,0.02225137,0.00275824,0.0031511,0
0.534,1500,0.02025137,0.00875824,0.0011511,0
0.544,1500,0.02125137,0.00475824,0.0011511,0
0.554,1500,0.02325137,0.00275824,0.0041511,0
0.564,1500,0.02325137,0.00375824,0.0011511,0
0.575,1500,0.02425137,0.00675824,-0.0018489,0
0.584,1500,0.01925137,0.00475824,-0.0008489,0
0.594,1500,0.02425137,0.00475824,-0.0018489,0
0.604,1500,0.02225137,0.00375824,0.0011511,0
0.614,1500,0.01825137,0.00475824,-0.0018489,0
0.625,1500,0.01725137,0.00475824,-0.0008489,0
0.634,1500,0.02325137,0.00575824,0.0001511,0
0.644,1500,0.02025137,0.00375824,0.0011511,0
0.654,1500,0.02225137,0.00475824,-0.0038489,0
0.665,1500,0.02125137,0.00375824,0.0001511,0
0.675,1500,0.02025137,0.00375824,0.0031511,0
0.684,1500,0.02125137,0.00175824,-0.0018489,0
0.695,1500,0.02125137,0.00775824,-0.0008489,0
0.704,1500,0.02225137,0.00775824,0.0021511,0
0.714,1500,0.01825137,0.00275824,0.0031511,0
0.724,1500,0.01925137,0.00475824,0.0031511,0
0.734,1500,0.02025137,0.00675824,-0.0018489,0
0.744,1500,0.02125137,0.00575824,0.0001511,0
0.754,1500,0.02125137,0.00375824,0.0001511,0
0.763,1500,0.02025137,0.00375824,0.0001511,0
0.774,1500,0.02025137,0.00575824,-0.0008489,0
0.784,1500,0.02125137,0.00375824,0.0021511,0
0.794,1500,0.02025137,0.00475824,-0.0008489,0
0.804,1500,0.02225137,0.00675824,-0.0018489,0
0.814,1500,0.02025137,0.00475824,-0.0018489,0
0.824,1500,0.02025137,0.00475824,0.0021511,0
0.834,1500,0.02025137,0.00475824,0.0021511,0
0.844,1500,0.01825137,0.00675824,0.0021511,0
0.854,1500,0.02125137,0.00375824,-0.0008489,0
0.864,1500,0.02225137,0.00575824,0.0011511,0
