Time,Speed,accX,accY,accZ,velocity_magnitude
0.073,1500,0.02325137,0.00275824,0.0021511,0
0.087,1500,0.02425137,0.00475824,-0.0028489,0
0.097,1500,0.02525137,0.00375824,0.0021511,0
0.108,1500,0.02225137,0.00575824,-0.0008489,0
0.118,1500,0.01925137,0.00975824,-0.0008489,0
0.128,1500,0.02225137,0.00575824,0.0041511,0
0.137,1500,0.02125137,0.00375824,0.0011511,0
0.147,1500,0.02025137,0.00775824,0.0011511,0
0.157,1500,0.02425137,0.00375824,0.0011511,0
0.167,1500,0.02425137,0.00575824,0.0101511,0
0.177,1500,0.02125137,0.00675824,-0.0018489,0
0.187,1500,0.02425137,0.00875824,-0.0038489,0
0.198,1500,0.02225137,-0.00024176,0.0011511,0
0.208,1500,0.02125137,0.00075824,0.0011511,0
0.218,1500,0.02025137,0.00675824,-0.0028489,0
0.228,1500,0.02025137,0.00575824,-0.0038489,0
0.237,1500,0.02525137,0.00175824,-0.0028489,0
0.247,1500,0.02325137,0.00475824,-0.0008489,0
0.257,1500,0.02225137,0.00875824,-0.0018489,0
0.267,1500,0.01925137,0.00675824,-0.0028489,0
0.277,1500,0.02525137,0.00675824,0.0011511,0
0.287,1500,0.02325137,0.00275824,-0.0038489,0
0.298,1500,0.02225137,0.00475824,-0.0048489,0
0.307,1500,0.01925137,0.00475824,0.0031511,0
0.317,1500,0.02425137,0.00675824,0.0041511,0
0.327,1500,0.02525137,0.00275824,0.0021511,0
0.337,1500,0.01925137,0.00275824,-0.0068489,0
0.347,1500,0.02225137,0.00675824,-0.0088489,0
0.357,1500,0.02425137,0.00575824,-0.0058489,0
0.368,1500,0.02425137,0.00275824,-0.0018489,0
0.378,1500,0.02225137,0.00475824,-0.0058489,0
0.387,1500,0.02525137,0.01175824,-0.0008489,0
0.397,1500,0.01925137,0.00375824,0.0021511,0
0.408,1500,0.02325137,0.00275824,0.0021511,0
0.418,1500,0.02125137,0.00975824,-0.0008489,0
0.428,1500,0.02425137,0.00275824,0.0001511,0
0.438,1500,0.01825137,0.00475824,-0.0008489,0
0.448,1500,0.02425137,0.00975824,0.0011511,0
0.458,1500,0.02325137,0.00275824,0.0001511,0
0.467,1500,0.02325137,0.00675824,0.0011511,0
0.477,1500,0.02025137,0.00675824,-0.0048489,0
0.487,1500,0.02225137,0.00875824,0.0001511,0
0.497,1500,0.02425137,0.00875824,0.0001511,0
0.508,1500,0.02325137,0.00675824,-0.0038489,0
0.517,1500,0.02325137,0.00575824,0.0021511,0
0.527,1500,0.02325137,0.00475824,0.0021511,0
0.538,1500,0.02325137,0.00375824,0.0031511,0
0.547,1500,0.02325137,0.00475824,0.0001511,0
0.557,1500,0.02425137,0.00375824,0.0021511,0
0.567,1500,0.02125137,0.00075824,0.0011511,0
0.577,1500,0.01825137,0.00975824,-0.0038489,0
0.587,1500,0.02525137,0.00475824,-0.0018489,0
0.597,1500,0.02525137,0.00875824,-0.0038489,0
0.608,1500,0.02225137,0.00875824,-0.0068489,0
0.617,1500,0.02125137,0.00675824,-0.0038489,0
0.628,1500,0.02325137,0.00575824,-0.0048489,0
0.637,1500,0.02325137,0.00175824,0.0001511,0
0.647,1500,0.02225137,0.00075824,0.0041511,0
0.658,1500,0.02225137,0.00175824,0.0011511,0
0.668,1500,0.02225137,0.00375824,0.0011511,0
0.678,1500,0.01925137,0.00875824,0.0001511,0
0.688,1500,0.02425137,0.00475824,0.0001511,0
0.698,1500,0.02325137,0.00375824,-0.0028489,0
0.708,1500,0.02425137,0.00575824,-0.0028489,0
0.718,1500,0.02025137,0.00375824,-0.0048489,0
0.727,1500,0.02525137,0.00375824,-0.0008489,0
0.737,1500,0.02325137,0.00475824,0.0011511,0
0.747,1500,0.02325137,0.00575824,0.0031511,0
0.757,1500,0.02625137,0.00775824,0.0011511,0
0.768,1500,0.01825137,0.00475824,0.0021511,0
0.777,1500,0.02225137,0.00475824,0.0001511,0
0.788,1500,0.02425137,0.00975824,0.0021511,0
0.797,1500,0.01825137,0.00375824,-0.0038489,0
0.808,1500,0.02225137,0.00675824,-0.0008489,0
0.817,1500,0.02325137,0.00775824,-0.0028489,0
0.827,1500,0.01925137,0.01375824,-0.0048489,0
0.837,1500,0.01825137,0.01975824,-0.0088489,0
0.847,1500,0.06525137,0.06875824,-0.0158489,0
0.858,1500,0.11525137,0.12475824,-0.0348489,0
0.868,1500,0.09025137,0.12475824,-0.0178489,0
0.878,1500,0.15025137,0.13575824,-0.0018489,0
0.888,1500,0.23625137,0.15475824,-0.0098489,0
0.898,1500,0.16725137,0.17675824,-0.0108489,0
0.908,1500,0.12825137,0.17275824,-0.0028489,0
0.917,1500,0.13225137,0.19175824,-0.0258489,0
0.927,1500,0.11825137,0.17175824,0.0031511,0
0.938,1500,0.12025137,0.11175824,0.0101511,0
0.947,1500,0.07325137,0.08175824,0.0111511,0
0.957,1500,0.06625137,0.07575824,-0.0278489,0
0.967,1500,0.08125137,0.06175824,0.0581511,0
0.977,1500,-0.00174863,0.08175824,-0.0598489,0
0.988,1500,-0.02874863,0.03675824,0.0111511,0
0.997,1500,-0.02674863,-0.01224176,0.0051511,0
1.008,1500,0.09725137,-0.03324176,0.0421511,0
1.017,1500,0.02725137,0.04275824,0.0041511,0
1.028,1500,-0.00574863,0.06775824,-0.0058489,0
1.037,1500,0.03725137,0.01275824,0.0281511,0
1.047,1500,0.00725137,-0.04324176,-0.0088489,0
1.058,1500,-0.00674863,-0.00024176,0.0211511,0
1.067,1500,-0.00674863,0.05675824,0.0161511,0
1.078,1500,-0.01474863,0.04675824,-0.0178489,0
1.087,1500,0.03125137,-0.05324176,-0.0278489,0
1.098,1500,0.08225137,-0.01024176,-0.0028489,0
1.108,1500,0.02825137,0.07975824,0.0231511,0
1.117,1500,-0.04374863,-0.03124176,-0.0308489,0
1.128,1500,-0.02274863,0.00475824,-0.0028489,0
1.137,1500,-0.02574863,0.01475824,0.0511511,0
1.148,1500,-0.05974863,0.00175824,0.0191511,0
1.157,1500,-0.04774863,-0.01124176,0.0251511,0
1.168,1500,-0.11974863,0.01575824,-0.0028489,0
1.178,1500,0.08025137,0.03875824,-0.0718489,0
1.187,1500,0.12325137,-0.02724176,0.0331511,143.309716786883
1.199,1500,0.04225137,-0.02824176,0.0351511,143.309716786883
1.208,1500,-0.04874863,0.09175824,-0.0158489,143.309716786883
1.218,1500,-0.12774863,0.09275824,-0.0588489,143.309716786883
1.228,1500,-0.09874863,-0.02324176,0.0111511,143.309716786883
1.238,1500,0.05925137,-0.07324176,0.0261511,143.309716786883
1.248,1500,-0.07374863,-0.02224176,-0.0238489,143.309716786883
1.258,1500,-0.00374863,0.06975824,-0.0698489,143.309716786883
1.268,1500,-0.04874863,0.03775824,-0.0458489,143.309716786883
1.278,1500,0.00425137,-0.05424176,-0.0288489,143.309716786883
1.288,1500,0.02625137,-0.01924176,0.0131511,143.309716786883
1.298,1500,-0.02774863,0.00975824,0.0081511,143.309716786883
1.309,1500,-0.04174863,0.03775824,-0.0378489,143.309716786883
1.318,1500,-0.03574863,-0.05024176,-0.0238489,143.309716786883
1.328,1500,-0.02974863,-0.04824176,-0.0238489,143.309716786883
1.338,1500,-0.07074863,-0.06424176,-0.0218489,143.309716786883
1.347,1500,-0.04974863,-0.06424176,-0.0018489,143.309716786883
1.358,1500,-0.07674863,-0.09324176,-0.0478489,143.309716786883
1.368,1500,0.02325137,-0.15224176,-0.0068489,143.309716786883
1.377,1500,-0.04074863,-0.19024176,0.0341511,143.309716786883
1.388,1500,-0.07674863,-0.16224176,0.0121511,143.309716786883
1.397,1500,-0.08574863,-0.18924176,0.0341511,143.309716786883
1.408,1500,-0.06974863,-0.15424176,-0.0168489,143.309716786883
1.418,1500,-0.11874863,-0.13024176,-0.0268489,143.309716786883
1.428,1500,-0.05774863,-0.12924176,-0.0268489,143.309716786883
1.438,1500,0.00625137,-0.10224176,-0.0028489,143.309716786883
1.447,1500,-0.03674863,-0.06324176,0.0061511,143.309716786883
1.458,1500,-0.04474863,-0.06524176,0.0061511,143.309716786883
1.467,1500,-0.02774863,-0.06924176,0.0041511,143.309716786883
1.478,1500,-0.01274863,-0.04524176,0.0021511,143.309716786883
1.488,1500,0.00625137,-0.00824176,0.0071511,143.309716786883
1.498,1500,-0.00674863,-0.00724176,0.0081511,143.309716786883
1.508,1500,0.00225137,-0.01724176,0.0041511,143.309716786883
1.518,1500,0.00925137,-0.00924176,-0.0088489,143.309716786883
1.528,1500,-0.01074863,0.00375824,-0.0128489,143.309716786883
1.538,1500,0.01425137,0.00175824,0.0031511,143.309716786883
1.548,1500,0.02125137,0.00675824,0.0061511,143.309716786883
1.558,1500,0.02525137,0.03475824,-0.0038489,143.309716786883
1.568,1500,0.02525137,0.06975824,0.0221511,143.309716786883
1.578,1500,0.03625137,0.08875824,0.0181511,143.309716786883
1.589,1500,0.05725137,0.10175824,-0.0138489,143.309716786883
1.598,1500,0.08525137,0.11975824,-0.0148489,143.309716786883
1.609,1500,0.11325137,0.13475824,-0.0258489,143.309716786883
