Time,Speed,accX,accY,accZ,velocity_magnitude
0.071,1500,0.02125137,0.00675824,0.0011511,0
0.088,1500,0.02025137,0.00675824,0.0011511,0
0.098,1500,0.02225137,0.00575824,0.0001511,0
0.108,1500,0.02125137,0.00775824,0.0011511,0
0.119,1500,0.01825137,0.00875824,-0.0038489,0
0.128,1500,0.02525137,0.00775824,-0.0008489,0
0.138,1500,0.02325137,0.00375824,0.0011511,0
0.149,1500,0.02025137,0.00675824,-0.0018489,0
0.159,1500,0.02125137,0.00975824,0.0001511,0
0.169,1500,0.02125137,0.00375824,0.0001511,0
0.179,1500,0.02125137,0.00375824,0.0031511,0
0.189,1500,0.02025137,0.00675824,-0.0018489,0
0.198,1500,0.02125137,0.00875824,-0.0018489,0
0.208,1500,0.02325137,0.00275824,0.0001511,0
0.219,1500,0.02225137,0.00575824,-0.0008489,0
0.229,1500,0.02225137,0.00775824,-0.0018489,0
0.238,1500,0.02125137,0.00575824,-0.0008489,0
0.249,1500,0.02425137,0.00175824,0.0011511,0
0.258,1500,0.02225137,0.00675824,-0.0028489,0
0.269,1500,0.02225137,0.00875824,0.0001511,0
0.278,1500,0.02325137,0.00675824,-0.0038489,0
0.288,1500,0.02525137,0.00575824,0.0001511,0
0.298,1500,0.02525137,0.00475824,0.0001511,0
0.308,1500,0.02025137,0.00575824,0.0021511,0
0.319,1500,0.01925137,0.00675824,-0.0018489,0
0.329,1500,0.02125137,0.00575824,0.0001511,0
0.338,1500,0.02425137,0.00175824,0.0011511,0
0.348,1500,0.02125137,0.00975824,-0.0028489,0
0.359,1500,0.02325137,0.00575824,0.0011511,0
0.368,1500,0.02225137,0.00275824,-0.0008489,0
0.379,1500,0.02125137,0.00575824,-0.0018489,0
0.388,1500,0.02025137,0.00675824,-0.0048489,0
0.399,1500,0.02325137,0.00575824,0.0021511,0
0.409,1500,0.02225137,0.00175824,0.0031511,0
0.418,1500,0.02225137,0.00575824,-0.0018489,0
0.429,1500,0.02025137,0.01075824,-0.0038489,0
0.438,1500,0.02325137,0.00275824,-0.0028489,0
0.449,1500,0.02325137,0.00375824,0.0011511,0
0.458,1500,0.02225137,0.00775824,-0.0058489,0
