frame,id,timestamp(s),accX,accY,accZ,gyrX,gyrY,gyrZ,magX,magY,magZ,eulerRoll,eulerPitch,eulerYaw,quatW,quatX,quatY,quatZ,
1,1,3587.843,-0.048,-0.021,0.984,0.0,0.0,0.0,14,-11,-14,2.54,-1.26,-0.29,1.0,-0.011,0.022,-0.003,
2,1,3587.853,-0.042,-0.025,0.99,0.0,0.0,0.0,14,-11,-14,2.54,-1.26,-0.29,1.0,-0.011,0.022,-0.003,
3,1,3587.863,-0.047,-0.017,0.986,0.0,0.0,0.0,14,-11,-14,2.54,-1.26,-0.29,1.0,-0.011,0.022,-0.003,
4,1,3587.873,-0.043,-0.027,0.993,0.0,0.0,0.0,14,-11,-14,2.54,-1.26,-0.29,1.0,-0.011,0.022,-0.003,
5,1,3587.883,-0.038,-0.021,0.989,0.0,0.0,0.0,14,-11,-14,2.54,-1.26,-0.29,1.0,-0.011,0.022,-0.003,
6,1,3587.893,-0.051,-0.021,0.986,0.0,0.0,0.0,15,-11,-14,2.54,-1.26,-0.29,1.0,-0.011,0.022,-0.003,
7,1,3587.903,-0.044,-0.021,0.99,0.0,0.0,0.0,14,-11,-14,2.54,-1.26,-0.29,1.0,-0.011,0.022,-0.003,
8,1,3587.913,-0.044,-0.024,0.985,0.0,0.0,0.0,14,-11,-14,2.54,-1.26,-0.29,1.0,-0.011,0.022,-0.003,
9,1,3587.923,-0.04,-0.023,0.985,0.0,0.0,0.0,14,-11,-14,2.54,-1.26,-0.29,1.0,-0.011,0.022,-0.003,
10,1,3587.933,-0.041,-0.021,0.986,0.0,0.0,0.0,14,-11,-14,2.54,-1.26,-0.29,1.0,-0.011,0.022,-0.003,
11,1,3587.943,-0.046,-0.023,0.989,0.0,0.0,0.0,15,-11,-14,2.54,-1.26,-0.29,1.0,-0.011,0.022,-0.003,
12,1,3587.953,-0.041,-0.027,0.986,0.0,0.0,0.0,14,-11,-14,2.54,-1.26,-0.29,1.0,-0.011,0.022,-0.003,
13,1,3587.963,-0.044,-0.017,0.987,0.0,0.0,0.0,14,-11,-14,2.54,-1.26,-0.29,1.0,-0.011,0.022,-0.003,
14,1,3587.973,-0.042,-0.024,0.984,0.0,0.0,0.0,14,-11,-14,2.54,-1.26,-0.29,1.0,-0.011,0.022,-0.003,
15,1,3587.983,-0.052,-0.024,0.982,0.0,0.0,0.0,14,-11,-14,2.54,-1.26,-0.29,1.0,-0.011,0.022,-0.003,
16,1,3587.993,-0.048,-0.019,0.993,0.0,0.0,0.0,15,-11,-14,2.54,-1.26,-0.29,1.0,-0.011,0.022,-0.003,
17,1,3588.003,-0.042,-0.021,0.993,0.0,0.0,0.0,15,-11,-14,2.54,-1.26,-0.29,1.0,-0.011,0.022,-0.003,
18,1,3588.013,-0.041,-0.023,0.992,0.0,0.0,0.0,14,-11,-14,2.54,-1.26,-0.29,1.0,-0.011,0.022,-0.003,
19,1,3588.023,-0.045,-0.021,0.99,0.0,0.0,0.0,14,-11,-14,2.54,-1.26,-0.29,1.0,-0.011,0.022,-0.003,
20,1,3588.033,-0.041,-0.018,0.993,0.0,0.0,0.0,14,-11,-14,2.54,-1.26,-0.29,1.0,-0.011,0.022,-0.003,
21,1,3588.043,-0.046,-0.02,0.984,0.0,0.0,0.0,14,-11,-14,2.54,-1.26,-0.29,1.0,-0.011,0.022,-0.003,
22,1,3588.053,-0.041,-0.026,0.986,0.0,0.0,0.0,14,-11,-14,2.54,-1.26,-0.29,1.0,-0.011,0.022,-0.003,
23,1,3588.063,-0.046,-0.018,0.993,0.0,0.0,0.0,14,-11,-14,2.54,-1.26,-0.29,1.0,-0.011,0.022,-0.003,
24,1,3588.073,-0.046,-0.022,0.979,0.0,0.0,0.0,14,-11,-14,2.54,-1.26,-0.29,1.0,-0.011,0.022,-0.003,
25,1,3588.083,-0.049,-0.025,0.992,0.0,0.0,0.0,14,-11,-14,2.54,-1.26,-0.29,1.0,-0.011,0.022,-0.003,
26,1,3588.093,-0.042,-0.023,0.992,0.0,0.0,0.0,15,-11,-14,2.54,-1.26,-0.29,1.0,-0.011,0.022,-0.003,
27,1,3588.103,-0.044,-0.021,0.988,0.0,0.0,0.0,15,-11,-14,2.54,-1.26,-0.29,1.0,-0.011,0.022,-0.003,
28,1,3588.113,-0.044,-0.023,0.991,0.0,0.0,0.0,14,-11,-14,2.54,-1.26,-0.29,1.0,-0.011,0.022,-0.003,
29,1,3588.123,-0.049,-0.023,0.984,0.0,0.0,0.0,14,-11,-14,2.54,-1.26,-0.29,1.0,-0.011,0.022,-0.003,
30,1,3588.133,-0.045,-0.022,0.988,0.0,0.0,0.0,14,-11,-14,2.54,-1.26,-0.29,1.0,-0.011,0.022,-0.003,
31,1,3588.143,-0.042,-0.023,0.991,0.0,0.0,0.0,14,-11,-14,2.54,-1.26,-0.29,1.0,-0.011,0.022,-0.003,
32,1,3588.153,-0.048,-0.022,0.984,0.0,0.0,0.0,15,-12,-14,2.54,-1.26,-0.29,1.0,-0.011,0.022,-0.003,
33,1,3588.163,-0.046,-0.019,0.989,0.0,0.0,0.0,15,-11,-14,2.54,-1.26,-0.29,1.0,-0.011,0.022,-0.003,
