Time,Velocity_X,Velocity_Y,Velocity_Z,Velocity_Magnitude
0.086,2.7803733665469997e-06,8.592131701439998e-07,-3.9113431259e-07,2.9362747452576796e-06
0.096,1.8879144761050015e-06,2.7049094296000026e-07,6.385109815000004e-08,1.908261874598236e-06
0.106,1.887914476104999e-06,2.214576929599999e-07,3.580505981499998e-07,1.934286641036832e-06
0.116,1.9859809761050017e-06,4.666239429600005e-07,1.6191759815000012e-07,2.0464788418611073e-06
0.126,1.985980976104999e-06,5.646904429599997e-07,1.4817848149999991e-08,2.0647555066993094e-06
0.136,2.0350142261050017e-06,4.1759069296000035e-07,-3.4215401850000035e-08,2.077699588732767e-06
0.147,2.1845790737154964e-06,2.975400372559995e-07,7.023620796499989e-08,2.205866933428955e-06
0.157,1.8879144761050015e-06,4.666239429600004e-07,6.385109815000006e-08,1.945773865577735e-06
0.167,1.8388812261050016e-06,5.156571929600005e-07,-8.324865185000007e-08,1.9116267529012203e-06
0.176,1.7873828784944961e-06,3.317016986639993e-07,1.3336063334999967e-08,1.8179497852848215e-06
0.186,2.084047476105002e-06,3.195241929600003e-07,2.5998409815000024e-07,2.1243684529377754e-06
0.197,1.9688327737155017e-06,4.593497622560004e-07,7.023620796500004e-08,2.0229280313076448e-06
0.206,1.4784734034944969e-06,3.317016986639993e-07,-2.0731356166499955e-07,1.5293425170926922e-06
0.216,1.9369477261050018e-06,1.7242444296000014e-07,-1.8131515185000015e-07,1.9530416960433264e-06
0.226,2.084047476105002e-06,2.214576929600002e-07,6.385109815000005e-08,2.096753289055667e-06
0.236,1.8388812261049965e-06,4.1759069295999923e-07,1.6191759814999967e-07,1.8926392839521461e-06
0.246,1.7408147261050016e-06,4.666239429600005e-07,-1.3228190185000013e-07,1.8071171285571454e-06
0.256,1.8388812261050016e-06,1.7242444296000014e-07,1.4817848150000001e-08,1.847006746299346e-06
0.267,2.2924522237155024e-06,2.7857162256000023e-08,1.7810935796500015e-07,2.2995295525176043e-06
0.277,2.133080726105002e-06,4.666239429600004e-07,-1.3228190185000013e-07,2.1875259517960543e-06
0.287,1.9369477261049907e-06,6.62756942959997e-07,-1.8131515184999915e-07,2.055210072813814e-06
0.297,1.9369477261050018e-06,2.7049094296000026e-07,6.385109815000006e-08,1.956785324613226e-06
0.307,1.9859809761050017e-06,2.214576929600002e-07,-3.4215401850000035e-08,1.998583158376428e-06
0.317,1.8879144761050015e-06,3.6855744296000035e-07,-1.8131515185000015e-07,1.9320794088593835e-06
0.326,1.6991230284945015e-06,2.8757177366400024e-07,-7.492378666500007e-08,1.7249145383980066e-06
0.336,2.084047476105002e-06,2.704909429600002e-07,6.385109815000006e-08,2.1024976089446526e-06
0.347,2.3463887987154903e-06,4.593497622559981e-07,2.3204593296499904e-07,2.4021631738555484e-06
0.356,1.7873828784945016e-06,5.082213986640005e-07,-3.079386166500003e-08,1.858487235982945e-06
0.366,1.8879144761050015e-06,4.1759069296000035e-07,-8.324865185000009e-08,1.9353380567664343e-06
0.376,2.0350142261050017e-06,1.7242444296000014e-07,1.481784815000001e-08,2.0423595808778633e-06
0.386,2.0350142261050017e-06,1.2339119296000012e-07,-1.3228190185000013e-07,2.0430386164991803e-06
0.396,1.7898479761050013e-06,4.1759069296000035e-07,-1.8131515185000015e-07,1.8468386363470879e-06
0.407,1.7530864737154927e-06,5.132863372559978e-07,-9.157351703499962e-08,1.8289780636628909e-06
0.417,1.6917814761050014e-06,2.214576929600002e-07,-3.4215401850000035e-08,1.7065575778118182e-06
0.427,2.0350142261050017e-06,3.6855744296000035e-07,-2.793816518500002e-07,2.0869047885807795e-06
0.437,1.9859809761050017e-06,3.6855744296000035e-07,-1.8131515185000015e-07,2.028011393089935e-06
0.447,1.9369477261050018e-06,3.195241929600003e-07,6.385109815000005e-08,1.9641637320460425e-06
0.457,2.0350142261050017e-06,4.1759069296000035e-07,1.4817848150000011e-08,2.0774706871386535e-06
0.467,1.7898479761050016e-06,3.6855744296000035e-07,-8.324865185000007e-08,1.8292951386704187e-06
0.477,1.8388812261049912e-06,4.666239429599979e-07,6.385109814999971e-08,1.8982357679171183e-06
0.486,1.963902578494502e-06,4.199615486640004e-07,2.339856883350002e-07,2.0218878165019995e-06
0.496,2.133080726105002e-06,3.195241929600003e-07,2.5998409815000024e-07,2.1724918469946558e-06
0.506,1.7408147261050016e-06,4.666239429600004e-07,6.385109815000005e-08,1.8033997830493743e-06
0.516,1.7408147261050016e-06,4.666239429600004e-07,-3.4215401850000035e-08,1.8025938279299988e-06
0.527,2.184579073715502e-06,2.9754003725600023e-07,1.7810935796500017e-07,2.211930999484542e-06
0.537,1.8879144761050015e-06,1.7242444296000014e-07,1.6191759815000017e-07,1.902674056744232e-06
0.547,1.9369477261050018e-06,2.214576929600002e-07,1.128843481500001e-07,1.952832015174821e-06
0.557,2.0840474761050017e-06,4.1759069296000035e-07,6.385109815000005e-08,2.1264319486504624e-06
0.567,1.9859809761049797e-06,1.7242444295999826e-07,-8.324865184999915e-08,1.9951894556697608e-06
0.577,1.9369477261050018e-06,1.724244429600002e-07,1.4817848150000018e-08,1.9446635315182933e-06
0.586,1.7432529534945014e-06,4.640914736640005e-07,-7.492378666500008e-08,1.805526330354434e-06
0.596,1.9369477261050018e-06,4.666239429600005e-07,-2.793816518500003e-07,2.011854494042079e-06
0.606,1.9859809761050017e-06,3.6855744296000035e-07,-8.324865185000007e-08,2.0216046508274144e-06
0.617,2.238515648715502e-06,5.132863372560005e-07,1.7810935796500015e-07,2.3035056146995974e-06
0.627,2.0840474761050017e-06,4.666239429600005e-07,1.4817848150000001e-08,2.1356992661484347e-06
0.637,2.0840474761050017e-06,3.195241929600003e-07,-1.8131515185000015e-07,2.1161816502457335e-06
0.647,2.0840474761050017e-06,4.1759069296000035e-07,1.481784815000001e-08,2.125524744182066e-06
0.657,1.9369477261050018e-06,6.137236929600005e-07,6.385109815000005e-08,2.032855191030281e-06
0.666,1.6991230284945015e-06,3.7583162366400036e-07,5.746598833500005e-08,1.7411406649439797e-06
0.676,2.0350142261050017e-06,2.7049094296000026e-07,1.128843481500001e-07,2.056013406262318e-06
0.686,1.9859809761050017e-06,5.156571929600005e-07,1.481784815000001e-08,2.05188750830209e-06
0.697,1.968832773715482e-06,4.593497622559958e-07,7.023620796499936e-08,2.0229280313076244e-06
0.707,1.7898479761050013e-06,2.214576929600002e-07,2.5998409815000024e-07,1.822139132621108e-06
0.717,1.9369477261050018e-06,4.1759069296000035e-07,2.109508481500002e-07,1.992648674715479e-06
0.727,2.0350142261050017e-06,5.156571929600005e-07,1.481784815000001e-08,2.099382006621216e-06
0.737,1.9859809761050017e-06,4.1759069296000035e-07,1.128843481500001e-07,2.032546506320345e-06
0.747,1.8879144761050015e-06,4.666239429600005e-07,1.6191759815000012e-07,1.9514549141143452e-06
0.757,2.0350142261050017e-06,3.6855744296000035e-07,6.385109815000005e-08,2.06910474648963e-06
0.766,1.963902578494502e-06,2.8757177366400024e-07,1.3336063335000008e-08,1.984890101091465e-06
0.776,2.231147226105002e-06,4.666239429600005e-07,-1.8131515185000015e-07,2.286620001878312e-06
0.787,2.400325373715502e-06,6.211594872560007e-07,-2.533832420350002e-07,2.4923089847879556e-06
0.797,1.8879144761050015e-06,4.1759069296000035e-07,1.4817848150000018e-08,1.933603533446666e-06
0.807,1.7898479761050013e-06,2.7049094296000026e-07,-8.324865185000009e-08,1.8120848395771656e-06
0.817,1.9859809761049797e-06,4.666239429599953e-07,-3.421540184999967e-08,2.040350223691555e-06
0.827,2.0350142261050017e-06,5.156571929600005e-07,1.6191759815000012e-07,2.1055646629091663e-06
0.836,1.6549931034945013e-06,3.7583162366400036e-07,1.333606333500001e-08,1.697182792908753e-06
