,DateTime,Time,Position_X(mm),Position_Y(mm),Position_Z(mm),R_X(deg),R_Y(deg),R_Z(deg)
0,2022-12-25-15:31:40,15:31:40,430.901,98.295,169.992,178.2827,-0.11320000000000001,-0.1875
1,2022-12-25-15:31:40,15:31:40,411.019,124.178,107.8,178.29860000000002,-0.13970000000000002,-0.1497
2,2022-12-25-15:31:41,15:31:41,380.551,144.635,50.579,178.38840000000002,-0.1335,-0.101
3,2022-12-25-15:31:42,15:31:42,342.569,157.805,1.305,178.5439,-0.0767,-0.055600000000000004
4,2022-12-25-15:31:42,15:31:42,309.341,162.762,-31.25,178.70440000000002,0.009000000000000001,-0.036500000000000005
5,2022-12-25-15:31:43,15:31:43,314.991,163.073,-52.623,177.46200000000002,-0.6217,-0.332
6,2022-12-25-15:31:43,15:31:43,319.842,163.448,-80.433,176.6027,-1.117,-0.46840000000000004
7,2022-12-25-15:31:44,15:31:44,321.86,163.715,-108.34100000000001,176.5,-1.1554,-0.4555
8,2022-12-25-15:31:44,15:31:44,320.907,163.78300000000002,-137.191,177.08950000000002,-0.6325000000000001,-0.4128
9,2022-12-25-15:31:45,15:31:45,316.754,163.512,-166.06,178.2886,0.5427000000000001,-0.4329
10,2022-12-25-15:31:45,15:31:45,309.556,162.79500000000002,-193.805,179.92690000000002,2.3757,-0.5763
11,2022-12-25-15:31:46,15:31:46,314.257,163.287,-177.20000000000002,178.8937,1.1901000000000002,-0.4722
12,2022-12-25-15:31:46,15:31:46,319.687,163.726,-148.376,177.4873,-0.2596,-0.40850000000000003
13,2022-12-25-15:31:47,15:31:47,321.855,163.776,-119.97500000000001,176.6584,-1.0179,-0.43720000000000003
14,2022-12-25-15:31:47,15:31:47,320.973,163.56900000000002,-91.346,176.4771,-1.1905000000000001,-0.47390000000000004
15,2022-12-25-15:31:48,15:31:48,317.201,163.227,-63.370000000000005,177.0337,-0.8618,-0.4112
16,2022-12-25-15:31:48,15:31:48,310.77500000000003,162.834,-36.125,178.37310000000002,-0.1499,-0.1231
17,2022-12-25-15:31:49,15:31:49,323.05400000000003,153.94,-30.715,178.7243,0.016,-0.0386
18,2022-12-25-15:31:50,15:31:50,359.374,125.298,-29.443,178.7742,0.027200000000000002,-0.043000000000000003
19,2022-12-25-15:31:50,15:31:50,392.099,91.275,-28.483,178.81380000000001,0.0316,-0.0482
20,2022-12-25-15:31:51,15:31:51,421.91,50.475,-27.78,178.84380000000002,0.0287,-0.0507
21,2022-12-25-15:31:51,15:31:51,446.38,5.4750000000000005,-27.37,178.86280000000002,0.0216,-0.054700000000000006
22,2022-12-25-15:31:52,15:31:52,465.851,-45.129,-27.23,178.8701,0.0118,-0.054700000000000006
23,2022-12-25-15:31:52,15:31:52,478.909,-98.979,-27.36,178.8651,0.0017000000000000001,-0.053000000000000005
24,2022-12-25-15:31:53,15:31:53,485.321,-157.33,-27.77,178.8486,-0.007,-0.054
25,2022-12-25-15:31:53,15:31:53,484.193,-217.592,-28.446,178.8202,-0.0117,-0.0499
26,2022-12-25-15:31:54,15:31:54,475.324,-278.504,-29.375,178.7817,-0.0091,-0.045000000000000005
27,2022-12-25-15:31:54,15:31:54,458.48,-339.69100000000003,-30.558,178.73250000000002,-0.0001,-0.0398
28,2022-12-25-15:31:55,15:31:55,447.433,-370.66200000000003,-35.437,178.6963,0.0131,-0.039
29,2022-12-25-15:31:55,15:31:55,451.13800000000003,-373.842,-81.742,178.64170000000001,0.056100000000000004,-0.0585
30,2022-12-25-15:31:56,15:31:56,451.785,-374.40000000000003,-129.644,178.6312,0.0646,-0.056900000000000006
31,2022-12-25-15:31:56,15:31:56,449.266,-372.237,-177.16400000000002,178.66840000000002,0.0352,-0.043300000000000005
32,2022-12-25-15:31:57,15:31:57,447.618,-370.822,-193.975,178.6925,0.0146,-0.037700000000000004
33,2022-12-25-15:31:57,15:31:57,451.238,-373.931,-146.849,178.6395,0.0584,-0.053500000000000006
34,2022-12-25-15:31:58,15:31:58,451.748,-374.367,-99.388,178.6328,0.064,-0.059800000000000006
35,2022-12-25-15:31:59,15:31:59,449.075,-372.072,-51.6,178.6721,0.0323,-0.0475
36,2022-12-25-15:31:59,15:31:59,451.529,-364.353,-31.251,178.71130000000002,0.005,-0.0373
37,2022-12-25-15:32:00,15:32:00,487.427,-311.886,-31.248,178.76860000000002,-0.008700000000000001,-0.0359
38,2022-12-25-15:32:00,15:32:00,516.896,-256.774,-31.245,178.8128,-0.0112,-0.035500000000000004
39,2022-12-25-15:32:01,15:32:01,540.1,-199.181,-31.244,178.8428,-0.0071,-0.0386
40,2022-12-25-15:32:01,15:32:01,557.086,-138.89000000000001,-31.241,178.85680000000002,0.0026000000000000003,-0.0379
41,2022-12-25-15:32:02,15:32:02,567.267,-78.205,-31.247,178.8561,0.0142,-0.0386
42,2022-12-25-15:32:02,15:32:02,570.886,-15.77,-31.242,178.8384,0.023100000000000002,-0.0381
43,2022-12-25-15:32:03,15:32:03,567.69,46.289,-31.243000000000002,178.8059,0.027800000000000002,-0.038200000000000005
44,2022-12-25-15:32:03,15:32:03,557.985,106.554,-31.246000000000002,178.7596,0.0234,-0.0378
45,2022-12-25-15:32:04,15:32:04,542.846,162.437,-31.247,178.7041,0.0098,-0.038
46,2022-12-25-15:32:04,15:32:04,547.22,163.983,-59.477000000000004,178.6194,-0.0188,-0.0651
47,2022-12-25-15:32:05,15:32:05,551.302,165.1,-105.304,178.5411,-0.0458,-0.0801
48,2022-12-25-15:32:05,15:32:05,551.519,165.15800000000002,-151.70000000000002,178.5355,-0.0472,-0.07300000000000001
49,2022-12-25-15:32:06,15:32:06,547.823,164.145,-198.317,178.6061,-0.0244,-0.052700000000000004
50,2022-12-25-15:32:07,15:32:07,542.743,162.756,-231.649,178.70420000000001,0.009000000000000001,-0.0375
51,2022-12-25-15:32:07,15:32:07,548.509,164.333,-192.453,178.5933,-0.0296,-0.0575
52,2022-12-25-15:32:08,15:32:08,551.714,165.21200000000002,-145.675,178.5324,-0.049,-0.0748
53,2022-12-25-15:32:08,15:32:08,550.996,165.017,-99.505,178.547,-0.0436,-0.07930000000000001
54,2022-12-25-15:32:09,15:32:09,546.5550000000001,163.80100000000002,-54.626,178.6319,-0.014100000000000001,-0.0597
55,2022-12-25-15:32:09,15:32:09,543.706,159.77700000000002,-31.246000000000002,178.7072,0.0111,-0.038700000000000005
56,2022-12-25-15:32:10,15:32:10,559.22,100.686,-31.245,178.76510000000002,0.024200000000000003,-0.0379
57,2022-12-25-15:32:10,15:32:10,568.404,39.142,-31.245,178.81050000000002,0.027,-0.0376
58,2022-12-25-15:32:11,15:32:11,570.826,-22.265,-31.245,178.8411,0.0227,-0.0376
59,2022-12-25-15:32:11,15:32:11,566.668,-83.283,-31.248,178.8563,0.013900000000000001,-0.038
60,2022-12-25-15:32:12,15:32:12,555.6750000000001,-145.025,-31.248,178.8565,0.0022,-0.037700000000000004
61,2022-12-25-15:32:12,15:32:12,538.029,-205.144,-31.247,178.8401,-0.0078000000000000005,-0.0375
62,2022-12-25-15:32:13,15:32:13,514.1850000000001,-262.50100000000003,-31.248,178.8092,-0.0115,-0.036000000000000004
63,2022-12-25-15:32:13,15:32:13,483.606,-318.104,-31.245,178.76250000000002,-0.0079,-0.035300000000000005
64,2022-12-25-15:32:14,15:32:14,448.749,-367.947,-31.249000000000002,178.7062,0.006500000000000001,-0.0363
65,2022-12-25-15:32:15,15:32:15,449.591,-372.514,-57.616,178.6648,0.038,-0.0504
66,2022-12-25-15:32:15,15:32:15,451.844,-374.45,-104.396,178.6311,0.06520000000000001,-0.0596
67,2022-12-25-15:32:16,15:32:16,450.981,-373.71,-152.239,178.6434,0.055600000000000004,-0.0512
68,2022-12-25-15:32:16,15:32:16,447.086,-370.365,-198.64000000000001,178.70090000000002,0.0086,-0.035
69,2022-12-25-15:32:17,15:32:17,446.945,-370.243,-199.84900000000002,178.7032,0.0073,-0.034800000000000005
70,2022-12-25-15:32:17,15:32:17,446.945,-370.243,-199.84900000000002,178.7032,0.0073,-0.034800000000000005
71,2022-12-25-15:32:18,15:32:18,446.945,-370.243,-199.84900000000002,178.7032,0.0073,-0.034800000000000005
72,2022-12-25-15:32:18,15:32:18,446.945,-370.243,-199.84900000000002,178.7032,0.0073,-0.034800000000000005
